"TT1" "TT2" "TT3" "TT25" "TT26" "TT27"
"ENSG00000270605" 1 3 1 3 1 2
"ENSG00000238199" 3 0 2 0 0 0
"ENSG00000142733" 349 448 435 115 181 135
"ENSG00000189337" 97 83 87 12 32 16
"ENSG00000270601" 0 0 0 0 0 0
"ENSG00000233268" 0 0 0 0 0 0
"ENSG00000232912" 0 2 1 0 1 2
"ENSG00000235084" 1 6 0 10 10 4
"ENSG00000235143" 0 0 0 0 0 0
"ENSG00000225478" 0 0 0 0 0 0
"ENSG00000225077" 25 51 28 15 14 14
"ENSG00000028137" 1 3 1 0 0 0
"ENSG00000223944" 0 0 0 0 0 0
"ENSG00000238249" 0 0 0 1 0 0
"ENSG00000187952" 1 3 0 0 3 0
"ENSG00000237938" 11 10 14 7 13 10
"ENSG00000227409" 5 4 9 4 6 3
"ENSG00000204464" 3 1 11 3 0 8
"ENSG00000233372" 0 0 0 0 0 0
"ENSG00000162460" 1 1 0 1 2 0
"ENSG00000283259" 0 0 0 0 0 0
"ENSG00000142687" 888 1000 1214 741 808 747
"ENSG00000284543" 0 0 0 0 2 1
"ENSG00000223382" 9 19 20 18 15 35
"ENSG00000226166" 0 0 0 0 0 0
"ENSG00000130939" 842 753 905 471 607 644
"ENSG00000236216" 0 0 0 0 0 0
"ENSG00000175147" 30 29 43 21 22 23
"ENSG00000236266" 1 0 0 0 1 1
"ENSG00000127472" 0 0 0 0 0 0
"ENSG00000231103" 0 0 0 0 0 0
"ENSG00000060656" 612 650 751 456 556 482
"ENSG00000163867" 182 252 264 85 127 111
"ENSG00000232768" 2 0 0 1 1 1
"ENSG00000225294" 0 0 0 0 0 0
"ENSG00000230214" 0 0 0 0 0 0
"ENSG00000189280" 0 2 1 0 3 0
"ENSG00000134698" 195 271 256 142 186 266
"ENSG00000226487" 0 0 0 0 0 0
"ENSG00000134690" 899 1315 1465 461 516 419
"ENSG00000272420" 3 0 4 1 2 0
"ENSG00000224333" 0 0 0 0 0 0
"ENSG00000226664" 0 0 1 0 0 0
"ENSG00000132881" 78 139 156 54 76 76
"ENSG00000273274" 0 2 5 0 0 1
"ENSG00000224321" 53 94 124 39 40 34
"ENSG00000233621" 118 176 200 111 82 91
"ENSG00000228940" 1 0 1 0 0 0
"ENSG00000116251" 1421 2011 2094 1107 1241 1141
"ENSG00000272510" 1 0 1 1 0 2
"ENSG00000158286" 221 278 308 168 176 167
"ENSG00000236648" 0 0 0 0 0 0
"ENSG00000232273" 0 0 1 0 0 0
"ENSG00000237276" 12 13 11 6 12 16
"ENSG00000227959" 27 35 39 10 15 24
"ENSG00000009709" 152 156 205 113 129 113
"ENSG00000043514" 499 962 981 423 477 444
"ENSG00000186543" 0 0 0 0 0 0
"ENSG00000287396" 0 0 0 0 0 0
"ENSG00000231789" 31 71 78 65 84 75
"ENSG00000162510" 0 0 0 1 0 2
"ENSG00000179002" 0 0 0 0 0 0
"ENSG00000223589" 0 0 0 0 0 0
"ENSG00000188984" 0 0 0 0 0 0
"ENSG00000229259" 0 0 3 0 0 0
"ENSG00000270171" 0 0 0 0 0 0
"ENSG00000158008" 6 5 6 1 3 3
"ENSG00000269732" 0 0 0 0 0 0
"ENSG00000130940" 85 51 58 30 34 43
"ENSG00000116771" 413 578 628 388 465 426
"ENSG00000237301" 2 3 0 3 1 0
"ENSG00000162585" 248 302 385 220 224 205
"ENSG00000163879" 10 10 0 2 0 0
"ENSG00000227527" 0 5 5 2 2 0
"ENSG00000127129" 127 169 192 62 72 52
"ENSG00000228823" 0 0 0 0 0 0
"ENSG00000010803" 331 376 427 241 255 247
"ENSG00000229901" 0 0 0 2 1 0
"ENSG00000169991" 1576 1454 1845 771 795 742
"ENSG00000116954" 188 134 198 63 112 113
"ENSG00000117013" 2 0 3 0 1 3
"ENSG00000228589" 22 7 14 3 4 9
"ENSG00000163873" 0 0 0 0 0 0
"ENSG00000233431" 0 0 0 0 0 2
"ENSG00000117215" 0 0 0 0 0 0
"ENSG00000223583" 0 2 2 0 0 2
"ENSG00000196449" 419 643 760 238 290 266
"ENSG00000250575" 0 0 0 0 0 0
"ENSG00000237700" 0 0 0 0 0 0
"ENSG00000253368" 5150 7343 7771 2290 2741 2379
"ENSG00000179862" 673 1013 1084 330 389 316
"ENSG00000116661" 47 76 111 66 118 60
"ENSG00000230163" 0 0 0 0 0 0
"ENSG00000287400" 7 9 14 5 1 10
"ENSG00000227538" 0 0 0 0 0 0
"ENSG00000232208" 3 14 5 3 3 5
"ENSG00000162461" 1 2 1 1 1 5
"ENSG00000236500" 0 0 0 0 0 0
"ENSG00000044012" 3 17 4 5 2 0
"ENSG00000179051" 3127 4497 4858 1599 1749 1511
"ENSG00000215895" 0 0 0 0 0 0
"ENSG00000231868" 0 0 0 0 0 0
"ENSG00000284650" 0 0 0 0 0 0
"ENSG00000237329" 0 0 0 1 0 0
"ENSG00000236948" 0 2 0 1 0 1
"ENSG00000270850" 0 0 0 0 0 0
"ENSG00000053372" 1252 2229 2370 778 864 680
"ENSG00000287510" 0 0 0 0 0 0
"ENSG00000126067" 2725 3693 4006 1623 1758 1669
"ENSG00000274944" 1 0 0 0 0 0
"ENSG00000066136" 517 514 517 250 309 375
"ENSG00000132906" 254 492 556 300 340 293
"ENSG00000286668" 2 1 5 0 1 0
"ENSG00000197312" 581 356 543 203 180 274
"ENSG00000284748" 0 0 0 0 0 0
"ENSG00000272078" 3 3 3 6 6 3
"ENSG00000173660" 2161 5677 5917 3109 3521 2867
"ENSG00000224592" 3 0 0 0 0 0
"ENSG00000233728" 0 0 0 0 0 0
"ENSG00000230451" 0 0 0 0 0 0
"ENSG00000215893" 0 1 1 0 0 0
"ENSG00000231606" 0 0 0 1 0 0
"ENSG00000215900" 0 0 0 0 0 0
"ENSG00000092847" 1358 911 1298 507 469 713
"ENSG00000284632" 0 0 0 0 0 0
"ENSG00000204510" 0 1 0 0 0 0
"ENSG00000241014" 0 0 2 0 0 2
"ENSG00000054118" 1503 988 1454 569 618 675
"ENSG00000254553" 0 0 0 0 0 0
"ENSG00000230415" 3 4 3 0 2 4
"ENSG00000177181" 567 638 823 397 430 416
"ENSG00000284653" 0 0 0 0 0 0
"ENSG00000237749" 0 0 1 1 0 1
"ENSG00000224863" 0 0 0 2 1 0
"ENSG00000276747" 0 0 0 0 0 0
"ENSG00000284705" 0 0 0 0 0 0
"ENSG00000287828" 1 3 4 0 3 0
"ENSG00000228776" 0 0 0 0 0 0
"ENSG00000236009" 0 0 0 0 0 0
"ENSG00000228526" 39 31 42 26 22 23
"ENSG00000159339" 0 1 0 2 0 1
"ENSG00000284678" 0 0 0 0 0 0
"ENSG00000162373" 0 2 0 0 0 4
"ENSG00000223814" 0 0 0 0 0 0
"ENSG00000197982" 908 1597 1614 712 865 638
"ENSG00000225158" 0 0 0 0 0 0
"ENSG00000261781" 0 0 0 0 0 0
"ENSG00000183317" 146 179 220 111 113 103
"ENSG00000250894" 0 0 0 0 0 0
"ENSG00000232022" 0 4 6 1 1 2
"ENSG00000183386" 42 33 26 18 26 20
"ENSG00000284743" 0 4 4 3 1 1
"ENSG00000229528" 0 0 0 0 0 0
"ENSG00000158315" 2 2 0 2 0 0
"ENSG00000232514" 0 0 0 0 0 0
"ENSG00000229213" 0 0 0 0 0 0
"ENSG00000243749" 0 1 0 0 0 0
"ENSG00000204084" 160 77 113 36 35 51
"ENSG00000286064" 12 24 22 13 18 21
"ENSG00000235358" 2 6 1 1 1 1
"ENSG00000186973" 0 2 3 1 3 0
"ENSG00000233118" 0 0 0 0 0 0
"ENSG00000271806" 4 7 10 2 2 0
"ENSG00000142698" 1 0 0 0 0 0
"ENSG00000272084" 24 24 21 21 12 17
"ENSG00000146463" 1701 1460 1840 968 1107 1111
"ENSG00000279214" 0 0 1 0 0 1
"ENSG00000183520" 709 1316 1378 462 608 467
"ENSG00000271164" 0 0 0 0 0 0
"ENSG00000090686" 684 565 716 309 321 338
"ENSG00000085998" 698 1436 1537 642 692 613
"ENSG00000271741" 0 0 0 0 0 0
"ENSG00000226957" 0 0 0 0 0 0
"ENSG00000211454" 7 1 1 5 3 3
"ENSG00000214141" 0 0 0 0 0 0
"ENSG00000142686" 145 251 229 158 148 96
"ENSG00000224751" 1 0 1 0 0 1
"ENSG00000286597" 0 0 0 0 0 0
"ENSG00000279096" 0 0 0 0 0 0
"ENSG00000227857" 0 0 0 0 3 1
"ENSG00000213987" 0 0 0 0 0 0
"ENSG00000117148" 23 49 42 3 11 2
"ENSG00000230585" 13 1 3 5 0 1
"ENSG00000127125" 525 859 799 428 599 564
"ENSG00000197429" 222 186 239 148 163 166
"ENSG00000117000" 1358 1304 1553 735 877 854
"ENSG00000284989" 0 0 0 0 0 0
"ENSG00000178585" 249 485 500 326 367 315
"ENSG00000231630" 0 0 0 0 0 0
"ENSG00000092853" 673 440 626 112 113 132
"ENSG00000255811" 0 0 0 0 0 0
"ENSG00000236253" 0 1 1 0 0 0
"ENSG00000198754" 5 8 0 0 0 1
